Season,First Name,Last Name,Team,Age,PP,2P,WAR,GB,GP,PA,AB,H,HR,AVG,OBP,SLG,OPS,R,1B,2B,3B,RBI,XBH,SB,CS,BB,K,wOBA,ISO,BABIP,SH,SF,TB,HBP,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR,qAVG,Aggr,SB%,RS%,E/GF,PB/GF,adjBA
1,Phineas,Bell,HAV,30,1B,OF,1.8,66,80,228,209,60,7,.287,.342,.478,.821,30,36,15,2,29,24,5,4,16,48,.358,.191,.342,0,1,100,2,1,0,2.9,29.9,0.23,.070,.400,5.01,-0.84,-0.05,-1.73,0.265,2.66,0.26,1.8,0.287,0.167,0.556,0.324,0.017,0.000,0.255
1,Walter,Mirthwright,PAL,29,RF,1B/OF,1.5,76,80,255,234,68,4,.291,.341,.385,.726,38,54,10,0,27,14,0,0,16,20,.323,.094,.302,0,2,90,3,2,0,3.2,58.5,0.085,.063,.206,-2.14,-0.05,-0.40,-0.07,0.296,-2.37,-0.23,1.5,0.291,0.000,0.000,0.410,0.030,0.000,0.286
1,Haven,Oldman,MUN,30,CF,1B,0.2,70,80,221,198,47,2,.237,.298,.288,.586,18,41,4,0,19,6,2,2,15,61,.267,.051,.328,3,2,57,3,1,0,2.8,99.0,0.308,.068,.128,-11.78,-0.54,-0.13,-0.76,0.256,-12.96,-1.27,0.2,0.237,0.068,0.500,0.254,0.016,0.000,0.215
1,Gustavo,Camacho,MFP,36,LF,1B/OF,1.0,75,80,243,224,54,3,.241,.292,.353,.645,23,38,10,3,23,16,3,1,15,33,.286,.112,.268,0,2,79,2,0,0,3.0,74.7,0.147,.062,.296,-8.34,0.11,1.18,0.59,0.282,-6.18,-0.61,1.0,0.241,0.073,0.750,0.294,0.000,0.000,0.265
1,Brecken,Allday,VAL,36,1B,,1.6,70,80,240,221,54,12,.244,.297,.471,.768,37,28,14,0,38,26,1,0,15,56,.333,.226,.273,1,1,104,2,2,0,3.0,18.4,0.253,.063,.481,1.88,0.17,-1.06,-2.08,0.279,-0.82,-0.08,1.6,0.244,0.022,1.000,0.424,0.032,0.000,0.262
1,Barny,Donkey,BOS,28,SS,2B,1.4,79,80,271,253,62,18,.245,.292,.494,.786,42,35,9,0,42,27,0,0,15,37,.340,.249,.221,0,1,125,2,9,0,3.4,14.1,0.146,.055,.435,-0.60,-0.04,-3.08,-0.76,0.314,-4.17,-0.41,1.4,0.245,0.000,0.000,0.393,0.128,0.000,0.306
1,Atlas,Rios,CDMX,23,2B,SS,1.3,77,80,226,211,60,2,.284,.332,.374,.706,23,46,11,1,17,14,3,3,15,49,.315,.090,.363,0,0,79,0,4,0,2.8,105.5,0.232,.066,.233,-2.67,-0.79,0.61,-0.19,0.262,-2.78,-0.27,1.3,0.284,0.098,0.500,0.288,0.058,0.000,0.237
1,Spud,Cannon,JSB,23,LF,OF,2.5,76,80,257,236,68,11,.288,.339,.487,.826,33,43,14,0,36,25,0,0,15,43,.359,.199,.310,0,2,115,4,2,0,3.2,21.5,0.182,.058,.368,6.95,-0.04,-0.47,0.70,0.298,7.43,0.73,2.5,0.288,0.000,0.000,0.289,0.030,0.000,0.278
1,Chili,Esposito,CAR,29,LF,RF,1.9,66,80,223,205,60,9,.293,.344,.478,.822,35,40,11,0,33,20,7,3,15,38,.360,.185,.323,2,0,98,1,1,0,2.8,22.8,0.185,.067,.333,3.23,0.01,0.07,0.64,0.259,4.20,0.41,1.9,0.293,0.179,0.700,0.388,0.017,0.000,0.275
1,Guillermo,Esquivel,BBR,32,2B,3B,2.7,74,80,255,236,70,11,.297,.339,.513,.851,28,43,14,2,38,27,0,0,15,37,.368,.216,.311,1,2,121,1,3,0,3.2,21.5,0.157,.059,.386,7.81,-0.04,1.35,0.65,0.296,10.06,0.99,2.7,0.297,0.000,0.000,0.227,0.046,0.000,0.286
